time,temp (C),hum
1554144300.0,7.222222222222222,24.0
1554147900.0,7.222222222222222,23.0
1554151500.0,7.222222222222222,21.0
1554155400.0,7.222222222222222,21.0
1554158700.0,6.111111111111111,23.0
1554162300.0,3.888888888888889,28.0
1554165900.0,2.2222222222222223,41.0
1554169500.0,-1.1111111111111112,60.0
1554172500.0,-1.1111111111111112,64.0
1554173700.0,-1.1111111111111112,60.0
1554174900.0,-2.2222222222222223,68.0
1554176100.0,-2.2222222222222223,68.0
1554177300.0,-2.2222222222222223,74.0
1556684100.0,12.222222222222221,57.0
1556686500.0,12.222222222222221,53.0
1556684100.0,12.222222222222221,57.0
1556685000.0,12.222222222222221,61.0
1556686500.0,12.222222222222221,65.0
1556683800.0,12.222222222222221,65.0
1556686500.0,12.222222222222221,70.0
1556684100.0,12.222222222222221,70.0
1556686500.0,12.222222222222221,57.0
1556684100.0,12.222222222222221,57.0
1556686200.0,12.222222222222221,53.0
1556684100.0,12.222222222222221,57.0
1556685300.0,12.222222222222221,57.0
1556686500.0,11.11111111111111,61.0
1556684100.0,11.11111111111111,65.0
1556685960.0,12.222222222222221,65.0
1556686200.0,11.11111111111111,70.0
1556685900.0,11.11111111111111,65.0
1556685900.0,12.222222222222221,57.0
1556685900.0,12.222222222222221,57.0
1556685900.0,12.222222222222221,57.0
1556686080.0,12.777777777777779,53.0
1556732700.0,12.222222222222221,53.0
1556736300.0,12.777777777777779,47.0
1556739900.0,12.222222222222221,61.0
1556743500.0,11.11111111111111,65.0
1556747100.0,11.11111111111111,70.0
1556750220.0,10.0,80.0
1556750700.0,10.0,80.0
1556754300.0,10.0,80.0
1556757900.0,10.0,80.0
1556761500.0,10.0,80.0
1556765400.0,10.0,80.0
1556766600.0,10.0,80.0
1556768100.0,10.0,80.0
1556769300.0,10.0,80.0
1559362500.0,17.22222222222222,80.0
1559363700.0,16.11111111111111,80.0
1559364900.0,16.11111111111111,80.0
1559362200.0,16.11111111111111,80.0
1559363700.0,16.11111111111111,80.0
1559364900.0,16.11111111111111,80.0
1559362500.0,16.11111111111111,80.0
1559363700.0,15.0,80.0
1559364900.0,16.11111111111111,80.0
1559362500.0,16.11111111111111,80.0
1559363700.0,15.0,80.0
1559364900.0,15.0,80.0
1559362500.0,15.0,80.0
1559363700.0,16.11111111111111,80.0
1559364900.0,15.0,80.0
1559363700.0,15.0,80.0
1559364900.0,15.0,80.0
1559363700.0,15.0,80.0
1559364300.0,13.88888888888889,80.0
1559364300.0,17.22222222222222,80.0
1559364600.0,18.88888888888889,62.0
1559364300.0,21.11111111111111,55.0
1559364300.0,22.77777777777778,48.0
1559364900.0,23.88888888888889,45.0
1559364900.0,25.0,40.0
1559411700.0,26.11111111111111,38.0
